SPEC,LONG,LAT
Anopheles pseudopunctipennis,-101.514444,27.8775
Anopheles pseudopunctipennis,-97.929167,17.025833
Anopheles pseudopunctipennis,-97.918611,18.081111
Anopheles pseudopunctipennis,-103.3675,18.756944
Anopheles pseudopunctipennis,-99.897778,16.871111
Anopheles pseudopunctipennis,-97.776111,17.804722
Anopheles pseudopunctipennis,-98.678055,20.499444
Anopheles pseudopunctipennis,-95.024722,17.431667
Anopheles pseudopunctipennis,-98.954722,18.811667
Anopheles pseudopunctipennis,-112.895833,27.281944
Anopheles pseudopunctipennis,-102.3,21.878889
Anopheles pseudopunctipennis,-98.109722,16.388889
Anopheles pseudopunctipennis,-100.383333,21.668889
Anopheles pseudopunctipennis,-100.027222,21.348056
Anopheles pseudopunctipennis,-100.597778,20.782222
Anopheles pseudopunctipennis,-101.191389,20.392778
Anopheles pseudopunctipennis,-101.629444,20.509444
Anopheles pseudopunctipennis,-100.871667,21.171944
Anopheles pseudopunctipennis,-99.7925,21.261389
Anopheles pseudopunctipennis,-101.256667,21.017778
Anopheles pseudopunctipennis,-100.788889,20.026111
Anopheles pseudopunctipennis,-101.000555,20.714167
Anopheles pseudopunctipennis,-100.642778,21.043333
Anopheles pseudopunctipennis,-100.394722,20.934444
Anopheles pseudopunctipennis,-100.159444,21.545556
Anopheles pseudopunctipennis,-100.956944,20.94
Anopheles pseudopunctipennis,-101.680555,21.119722
Anopheles pseudopunctipennis,-101.516667,20.870278
Anopheles pseudopunctipennis,-100.319167,21.273611
Anopheles pseudopunctipennis,-89.545,14.7925
Anopheles pseudopunctipennis,-97.498889,25.908611
Anopheles pseudopunctipennis,-76.529722,-11.911944
Anopheles pseudopunctipennis,-98.13972,30.33206
Anopheles pseudopunctipennis,-86.05158,12.61912
Anopheles pseudopunctipennis,-70.13534,11.74687
Anopheles pseudopunctipennis,-88.98331,16.98414
Anopheles pseudopunctipennis,-84.84207,10.50069
Anopheles pseudopunctipennis,-79.88313,9.35129
Anopheles pseudopunctipennis,-84.63734,9.99874
Anopheles pseudopunctipennis,-83.39044,10.08891
Anopheles pseudopunctipennis,-85.33771,10.34563
Anopheles pseudopunctipennis,-111.36725,25.93365
Anopheles pseudopunctipennis,-86.27382,12.15865
Anopheles pseudopunctipennis,-88.79998,17.25079
Anopheles pseudopunctipennis,-88.3333,17.00081
Anopheles pseudopunctipennis,-85.08116,9.62685
Anopheles pseudopunctipennis,-96.71692,18.81735
Anopheles pseudopunctipennis,-76.51704,3.93302
Anopheles pseudopunctipennis,-79.26317,-7.27368
Anopheles pseudopunctipennis,-77.49975,7.95137
Anopheles pseudopunctipennis,-88.3833,17.63411
Anopheles pseudopunctipennis,-79.661111,0.922778
Anopheles pseudopunctipennis,-61.75453,12.05725
Anopheles pseudopunctipennis,-90.99735,14.33041
Anopheles pseudopunctipennis,-87.45733,15.73977
Anopheles pseudopunctipennis,-79.50715,-7.42828
Anopheles pseudopunctipennis,-85.25444,9.99798
Anopheles pseudopunctipennis,-67.60189,10.24685
Anopheles pseudopunctipennis,-91.16082,14.73842
Anopheles pseudopunctipennis,-64.91825,-20.92031
Anopheles pseudopunctipennis,-80.73247,-1.94845
Anopheles pseudopunctipennis,-80.04,-2.19243
Anopheles pseudopunctipennis,-83.80278,9.76877
Anopheles pseudopunctipennis,-80.63227,-5.20534
Anopheles pseudopunctipennis,-78.78642,-8.40147
Anopheles pseudopunctipennis,-83.0332,10.00119
Anopheles pseudopunctipennis,-73.61867,4.14669
Anopheles pseudopunctipennis,-66.83519,10.59686
Anopheles pseudopunctipennis,-83.8666,9.25399
Anopheles pseudopunctipennis,-64.30173,8.88016
Anopheles pseudopunctipennis,-86.72412,12.23181
Anopheles pseudopunctipennis,-98.70031,22.80049
Anopheles pseudopunctipennis,-61.86482,17.1192
Anopheles pseudopunctipennis,-80.77676,-4.87069
Anopheles pseudopunctipennis,-84.21789,10.01357
Anopheles pseudopunctipennis,-85.59954,10.1721
Anopheles pseudopunctipennis,-82.41103,9.28987
Anopheles pseudopunctipennis,-90.51229,14.61491
Anopheles pseudopunctipennis,-88.2464,13.32308
Anopheles pseudopunctipennis,-89.06665,17.33412
Anopheles pseudopunctipennis,-88.61664,17.1008
Anopheles pseudopunctipennis,-88.4333,17.38412
Anopheles pseudopunctipennis,-83.22719,8.68191
Anopheles pseudopunctipennis,-110.857362,31.772897
Anopheles pseudopunctipennis,-99.073429,35.396179
Anopheles pseudopunctipennis,-100.397033,27.441633
Anopheles pseudopunctipennis,-99.621683,26.084883
Anopheles pseudopunctipennis,-100.435278,25.3675
Anopheles pseudopunctipennis,-100.19055,25.499533
Anopheles pseudopunctipennis,-100.448717,25.650983
Anopheles pseudopunctipennis,-100.014083,25.964033
Anopheles pseudopunctipennis,-97.7425,24.527528
Anopheles pseudopunctipennis,-100.195867,23.680833
Anopheles pseudopunctipennis,-97.453722,25.602556
Anopheles pseudopunctipennis,-99.2181,25.727717
Anopheles pseudopunctipennis,-100.497233,27.022333
Anopheles pseudopunctipennis,-101.418056,26.900833
Anopheles pseudopunctipennis,-97.761194,23.026333
Anopheles pseudopunctipennis,-99.621833,25.693917
Anopheles pseudopunctipennis,-100.230278,26.493028
Anopheles pseudopunctipennis,-103.962222,18.856944
Anopheles pseudopunctipennis,-99.121944,24.075
Anopheles pseudopunctipennis,-99.244444,23.713333
Anopheles pseudopunctipennis,-100.244139,25.855611
Anopheles pseudopunctipennis,-97.947778,25.176389
Anopheles pseudopunctipennis,-99.264722,24.948889
Anopheles pseudopunctipennis,-94.605833,16.558055
Anopheles pseudopunctipennis,-92.699167,15.173889
Anopheles pseudopunctipennis,-96.680528,16.755694
Anopheles pseudopunctipennis,-95.026694,16.406361
Anopheles pseudopunctipennis,-91.982222,17.509167
Anopheles pseudopunctipennis,-102.200667,18.028889
Anopheles pseudopunctipennis,-107.386944,25.54725
Anopheles pseudopunctipennis,-108.039917,26.043056
Anopheles pseudopunctipennis,-109.303278,25.973861
Anopheles pseudopunctipennis,-103.453917,20.479833
Anopheles pseudopunctipennis,-92.509444,16.583333
Anopheles pseudopunctipennis,-101.641389,17.695278
Anopheles pseudopunctipennis,-104.916333,21.236778
Anopheles pseudopunctipennis,-108.984722,26.252889
Anopheles pseudopunctipennis,-105.953889,22.881889
Anopheles pseudopunctipennis,-95.406,16.091306
Anopheles pseudopunctipennis,-107.058139,24.597611
Anopheles pseudopunctipennis,-108.733472,26.145444
Anopheles pseudopunctipennis,-93.912778,16.528333
Anopheles pseudopunctipennis,-100.450389,19.874806
Anopheles pseudopunctipennis,-92.2175,14.598056
Anopheles pseudopunctipennis,-91.677472,16.078
Anopheles pseudopunctipennis,-104.889361,19.352139
Anopheles pseudopunctipennis,-90.650555,16.518889
